GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Expense Tracker App,com.expensetracker.exception,ExpencesTrackerRunTimeException,15,0,0,0,6,0,3,0,3,0
Expense Tracker App,com.expensetracker.service,Service,636,10,28,0,173,3,32,3,18,3
Expense Tracker App,com.expensetracker.dao,PurchaseDao,221,0,30,0,56,0,24,0,9,0
Expense Tracker App,com.expensetracker.dao,AggregateShareDao,217,0,36,0,58,0,27,0,9,0
Expense Tracker App,com.expensetracker.dao,DaoFactory,37,0,8,0,12,0,6,0,2,0
Expense Tracker App,com.expensetracker.dao,IndividualShareDao,157,0,24,0,41,0,20,0,8,0
Expense Tracker App,com.expensetracker.dao,UserDao,336,0,54,0,86,0,39,0,12,0
Expense Tracker App,com.expensetracker.gui.popup,PopupWindow,40,0,0,0,12,0,5,0,5,0
Expense Tracker App,com.expensetracker.gui.popup,Popup.new EventHandler() {...},18,0,0,0,4,0,2,0,2,0
Expense Tracker App,com.expensetracker.gui.popup,Popup.new EventHandler() {...},22,0,0,0,4,0,2,0,2,0
Expense Tracker App,com.expensetracker.gui.popup,MessageIconBuilder,1362,0,0,0,106,0,5,0,5,0
Expense Tracker App,com.expensetracker.gui.popup,Popup,440,0,31,0,84,0,20,0,3,0
Expense Tracker App,com.expensetracker.gui.popup,Messages,23,0,0,0,6,0,3,0,3,0
Expense Tracker App,com.expensetracker.logger,RecycleLogs,4,0,0,0,2,0,2,0,2,0
Expense Tracker App,com.expensetracker.logger,Logger.RotateLogs,63,11,3,1,15,4,3,2,1,2
Expense Tracker App,com.expensetracker.logger,Logger,38,84,2,4,17,24,5,5,3,4
Expense Tracker App,com.expensetracker.gui.screen,LoginScreen,20,0,2,0,8,0,5,0,4,0
Expense Tracker App,com.expensetracker.gui.screen,DashboardScreen,20,0,2,0,8,0,5,0,4,0
Expense Tracker App,com.expensetracker.gui.screen,EditProfileScreen,20,0,2,0,8,0,5,0,4,0
